;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id_horario;;id_comision_materia;comision_id;id_materia;id_periodo;;;id_comision_materia_horario;id_comision_materia;id_horario;;id_horario;;;id_comision_materia;comision_id;id_materia;id_periodo;;;id_comision_materia_horario;id_comision_materia;id_horario;;id_horario;;id_comision_materia;comision_id;id_materia;id_periodo;;;id_comision_materia_horario;id_comision_materia;id_horario;;id_horario;;;id_comision_materia;comision_id;id_materia;id_periodo;;;id_comision_materia_horario;id_comision_materia;id_horario;;id_horario;;;id_comision_materia;comision_id;id_materia;id_periodo;;;id_comision_materia_horario;id_comision_materia;id_horario;;;;id_comision_materia;comision_id;id_materia;id_periodo;;id_comision_materia_horario;id_comision_materia;id_horario
41;;1;1;1;0;;;1;1;41;;39;;;130;18;10;1;;;244;130;39;;1;;205;29;17;0;;;394;205;1;;1;;;264;39;26;0;;;501;264;1;;1;;;307;43;39;2;;;581;307;1;;;;1;1;1;0;;1;1;41
65;;2;1;2;0;;;2;1;65;;101;;;131;18;11;0;;;245;130;101;;100;;206;29;18;0;;;395;205;100;;100;;;265;39;27;0;;;502;264;100;;73;;;308;43;40;1;;;582;307;73;;;;2;1;2;0;;2;1;65
1;;3;1;3;2;;;3;2;1;;4;;;132;18;12;1;;;246;131;4;;7;;207;29;19;1;;;396;206;7;;10;;;266;39;28;0;;;503;265;10;;6;;;309;43;41;1;;;583;308;6;;;;3;1;3;2;;3;2;1
31;;4;1;4;0;;;4;2;31;;32;;;133;18;13;0;;;247;131;32;;67;;208;29;20;0;;;397;207;67;;31;;;267;39;29;1;;;504;265;31;;66;;;310;43;42;1;;;584;308;66;;;;4;1;4;0;;4;2;31
104;;5;1;5;2;;;5;3;104;;9;;;134;18;14;0;;;248;132;9;;137;;209;29;21;2;;;398;207;137;;5;;;268;39;30;1;;;505;266;5;;74;;;311;43;43;1;;;585;309;74;;;;5;1;5;2;;5;3;104
135;;6;1;6;0;;;6;3;135;;109;;;135;18;15;0;;;249;132;109;;133;;210;29;21;1;;;399;208;133;;35;;;269;39;31;1;;;506;266;35;;101;;;312;43;44;2;;;586;309;101;;;;6;1;6;0;;6;3;135
35;;7;1;7;1;;;7;4;35;;3;;;136;18;16;2;;;250;133;3;;33;;211;29;22;2;;;400;209;33;;41;;;270;39;32;1;;;507;267;41;;109;;;313;43;45;2;;;587;310;109;;;;7;1;7;1;;7;4;35
69;;8;1;8;1;;;8;4;69;;145;;;137;19;10;1;;;251;133;145;;67;;212;29;23;2;;;401;209;67;;134;;;271;39;33;2;;;508;267;134;;141;;;314;43;46;2;;;588;310;141;;;;8;1;8;1;;8;4;69
99;;9;1;9;0;;;9;5;99;;73;;;138;19;11;0;;;252;134;73;;33;;213;29;24;2;;;402;210;33;;41;;;272;39;34;2;;;509;268;41;;109;;;315;43;47;2;;;589;311;109;;;;9;1;9;0;;9;5;99
143;;10;2;1;0;;;10;5;143;;134;;;139;19;12;1;;;253;134;134;;107;;214;30;17;0;;;403;210;107;;134;;;273;39;35;2;;;510;268;134;;141;;;316;43;48;0;;;590;311;141;;;;10;2;1;0;;10;5;143
13;;11;2;2;0;;;11;6;13;;66;;;140;19;13;0;;;254;135;66;;76;;215;30;18;0;;;404;211;76;;73;;;274;39;36;2;;;511;269;73;;6;;;317;43;49;1;;;591;312;6;;;;11;2;2;0;;11;6;13
100;;12;2;3;2;;;12;7;100;;140;;;141;19;14;0;;;255;135;140;;106;;216;30;19;1;;;405;211;106;;141;;;275;40;26;0;;;512;269;141;;66;;;318;43;50;1;;;592;312;66;;;;12;2;3;2;;12;7;100
141;;13;2;4;0;;;13;7;141;;39;;;142;19;15;0;;;256;136;39;;41;;217;30;20;0;;;406;212;41;;66;;;276;40;27;0;;;513;270;66;;6;;;319;43;51;2;;;593;313;6;;;;13;2;4;0;;13;7;141
106;;14;2;5;2;;;14;8;106;;101;;;143;19;16;2;;;257;136;101;;138;;218;30;21;1;;;407;212;138;;106;;;277;40;28;0;;;514;270;106;;66;;;320;44;39;2;;;594;313;66;;;;14;2;5;2;;14;8;106
134;;15;2;6;0;;;15;8;134;;67;;;144;20;10;1;;;258;137;67;;33;;219;30;22;2;;;408;213;33;;76;;;278;40;29;1;;;515;271;76;;106;;;321;44;40;1;;;595;314;106;;;;15;2;6;0;;15;8;134
6;;16;2;7;1;;;16;9;6;;135;;;145;20;11;0;;;259;137;135;;67;;220;30;23;2;;;409;213;67;;134;;;279;40;30;1;;;516;271;134;;141;;;322;44;41;1;;;596;314;141;;;;16;2;7;1;;16;9;6
77;;17;2;8;1;;;17;9;77;;31;;;146;20;12;1;;;260;138;31;;32;;221;30;24;2;;;410;214;32;;142;;;280;40;31;1;;;517;272;142;;106;;;323;44;42;2;;;597;315;106;;;;17;2;8;1;;17;9;77
1;;18;2;9;0;;;18;10;1;;76;;;147;20;13;0;;;261;138;76;;66;;222;31;17;0;;;411;214;66;;41;;;281;40;32;1;;;518;273;41;;141;;;324;44;43;1;;;598;315;141;;;;18;2;9;0;;18;10;1
65;;19;3;1;0;;;19;10;65;;100;;;148;20;14;0;;;262;139;100;;142;;223;31;18;0;;;412;215;142;;106;;;282;40;33;2;;;519;273;106;;34;;;325;44;44;2;;;599;316;34;;;;19;3;1;0;;19;10;65
